t raw new accept
0.000 0.0000 0.0000 0
0.020 0.0000 0.0000 0
0.058 0.0460 0.0460 0
0.088 0.0460 0.0460 0
0.113 0.0460 0.0460 0
0.144 0.0475 0.0475 0
0.180 0.0515 0.0515 0
0.200 0.0538 0.0538 0
0.235 0.0566 0.0566 0
0.272 0.0631 0.0631 0
0.292 0.0666 0.0666 0
0.327 0.0746 0.0746 0
0.357 0.0797 0.0797 0
0.393 0.0897 0.0897 0
0.413 0.0948 0.0948 0
0.448 0.1050 0.1050 0
0.478 0.1099 0.1099 0
0.504 0.1201 0.1201 0
0.534 0.1311 0.1311 0
0.569 0.1362 0.1362 0
0.589 0.1417 0.1417 0
0.627 0.1528 0.1528 0
0.662 0.1644 0.1644 0
0.692 0.1706 0.1706 0
0.718 0.1824 0.1824 0
0.748 0.1883 0.1883 0
0.783 0.2009 0.2009 0
0.803 0.2064 0.2064 0
0.840 0.2184 0.2184 0
0.871 0.2250 0.2250 0
0.897 0.2356 0.2356 0
0.927 0.2459 0.2459 0
0.962 0.2507 0.2507 0
0.998 0.2616 0.2616 0
1.018 0.2667 0.2667 0
1.053 0.2764 0.2764 0
1.083 0.2810 0.2810 0
1.109 0.2909 0.2909 0
1.139 0.2952 0.2952 0
1.174 0.3048 0.3048 0
1.194 0.3091 0.3091 0
1.232 0.3187 0.3187 0
1.262 0.3235 0.3235 0
1.287 0.3280 0.3280 0
1.317 0.3363 0.3363 0
1.353 0.3448 0.3448 0
1.390 0.3535 0.3535 0
1.410 0.3573 0.3573 0
1.445 0.3612 0.3612 0
1.476 0.3688 0.3688 0
1.502 0.3727 0.3727 0
1.532 0.3804 0.3804 0
1.567 0.3842 0.3842 0
1.587 0.3877 0.3877 0
1.623 0.3955 0.3955 0
1.653 0.4028 0.4028 0
1.688 0.4067 0.4067 0
1.708 0.4103 0.4103 0
1.744 0.4196 0.4196 0
1.779 0.4220 0.4220 0
1.799 0.4243 0.4243 0
1.837 0.4286 0.4286 0
1.867 0.4319 0.4319 0
1.892 0.4332 0.4332 0
1.922 0.4349 0.4349 0
1.958 0.4376 0.4376 0
1.988 0.4400 0.4400 0
2.013 0.4412 0.4412 0
2.043 0.4422 0.4422 0
2.081 0.4438 0.4438 0
2.101 0.4447 0.0000 1
2.117 0.4453 0.0006 1
2.127 0.4457 0.0010 1
2.137 0.4457 0.0010 1
2.147 0.4459 0.0012 1
2.172 0.4466 0.0019 0
2.192 0.4472 0.0026 0
2.228 0.4493 0.0046 0
