t raw new accept
0.000 0.0000 0.0000 0
0.020 0.0000 0.0000 0
0.040 0.0000 0.0000 0
0.060 0.0000 0.0000 0
0.090 0.0000 0.0000 0
0.110 0.0000 0.0000 0
0.130 0.0000 0.0000 0
0.150 0.0000 0.0000 0
0.180 0.0000 0.0000 0
0.200 0.0000 0.0000 0
0.220 0.0000 0.0000 0
0.240 0.0000 0.0000 0
0.270 0.0000 0.0000 0
0.290 0.0000 0.0000 0
0.310 0.0000 0.0000 0
0.330 0.0000 0.0000 0
0.360 0.0000 0.0000 0
0.380 0.0000 0.0000 0
0.400 0.0000 0.0000 0
0.420 0.0000 0.0000 0
0.450 0.0000 0.0000 0
0.470 0.0000 0.0000 0
0.490 0.0000 0.0000 0
0.512 0.0000 0.0000 0
0.542 0.0000 0.0000 0
0.564 0.0000 0.0000 0
0.584 0.0000 0.0000 0
0.616 0.0000 0.0000 0
0.636 0.0000 0.0000 0
0.656 0.0000 0.0000 0
0.678 0.0000 0.0000 0
0.708 0.0000 0.0000 0
0.730 0.0000 0.0000 0
0.750 0.0000 0.0000 0
0.772 0.0000 0.0000 0
0.802 0.0000 0.0000 0
0.826 0.0000 0.0000 0
0.846 0.0000 0.0000 0
0.867 0.0000 0.0000 0
0.900 0.0000 0.0000 0
0.920 0.0000 0.0000 0
0.942 0.0000 0.0000 0
0.962 0.0000 0.0000 0
0.994 0.0000 0.0000 0
1.014 0.0000 0.0000 0
1.037 0.0000 0.0000 0
1.057 0.0000 0.0000 0
1.089 0.0000 0.0000 0
1.109 0.0000 0.0000 0
1.129 0.0000 0.0000 0
1.151 0.0000 0.0000 0
1.181 0.0000 0.0000 0
1.203 0.0000 0.0000 0
1.223 0.0000 0.0000 0
1.256 0.0000 0.0000 0
1.276 0.0000 0.0000 0
1.298 0.0000 0.0000 0
1.318 0.0000 0.0000 0
1.350 0.0000 0.0000 0
1.370 0.0000 0.0000 0
1.390 0.0000 0.0000 0
1.412 0.0000 0.0000 0
1.442 0.0000 0.0000 0
1.464 0.0000 0.0000 0
1.484 0.0000 0.0000 0
1.507 0.0000 0.0000 0
1.537 0.0000 0.0000 0
1.559 0.0000 0.0000 0
1.579 0.0000 0.0000 0
1.599 0.0000 0.0000 0
1.631 0.0000 0.0000 0
1.651 0.0000 0.0000 0
1.673 0.0000 0.0000 0
1.693 0.0000 0.0000 0
1.726 0.0000 0.0000 0
1.746 0.0000 0.0000 0
1.771 0.0000 0.0000 0
1.791 0.0000 0.0000 0
