ox oy ex ey
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-26.400 -29.690 -26.400 -29.690
-26.400 -29.690 -26.400 -29.690
-26.399 -29.690 -26.399 -29.690
-26.380 -29.691 -26.380 -29.691
-26.367 -29.688 -26.367 -29.688
-26.392 -29.688 -26.392 -29.688
-26.395 -29.696 -26.395 -29.696
-26.360 -29.697 -26.360 -29.697
-26.360 -29.699 -26.360 -29.699
-26.399 -29.698 -26.399 -29.698
-26.408 -29.699 -26.408 -29.699
-26.423 -29.700 -26.423 -29.700
-26.368 -29.705 -26.368 -29.705
-26.381 -29.707 -26.381 -29.707
-26.446 -29.704 -26.446 -29.704
-26.463 -29.704 -26.463 -29.704
-26.475 -29.704 -26.475 -29.704
-26.407 -29.716 -26.407 -29.716
-26.418 -29.718 -26.418 -29.718
-26.491 -29.708 -26.491 -29.708
-26.497 -29.709 -26.497 -29.709
-26.424 -29.727 -26.424 -29.727
-26.426 -29.730 -26.426 -29.730
-26.512 -29.736 -26.512 -29.736
-26.437 -29.759 -26.437 -29.759
-26.452 -29.772 -26.452 -29.772
-26.541 -29.762 -26.541 -29.762
-26.555 -29.785 -26.555 -29.785
-26.563 -29.790 -26.563 -29.790
-26.511 -29.812 -26.511 -29.812
-26.509 -29.804 -26.509 -29.804
-26.515 -29.760 -26.515 -29.760
-26.505 -29.751 -26.505 -29.751
-26.493 -29.756 -26.493 -29.756
-26.507 -29.739 -26.507 -29.739
-26.504 -29.716 -26.504 -29.716
-26.498 -29.685 -26.498 -29.685
-26.506 -29.667 -26.506 -29.667
-26.511 -29.665 -26.511 -29.665
-26.517 -29.662 -26.517 -29.662
-26.519 -29.675 -26.519 -29.675
-26.518 -29.679 -26.518 -29.679
-26.514 -29.681 -26.514 -29.681
-26.514 -29.681 -26.514 -29.681
-26.513 -29.685 -26.513 -29.685
-26.515 -29.688 -26.515 -29.688
-26.518 -29.686 -26.518 -29.686
-26.525 -29.683 -26.525 -29.683
-26.528 -29.682 -26.528 -29.682
-26.527 -29.665 -26.527 -29.665
-26.529 -29.664 -26.529 -29.664
-26.529 -29.660 -26.529 -29.660
-26.528 -29.661 -26.528 -29.661
-26.527 -29.661 -26.527 -29.661
-26.528 -29.661 -26.528 -29.661
-26.528 -29.661 -26.528 -29.661
-26.529 -29.660 -26.529 -29.660
-26.530 -29.660 -26.530 -29.660
-26.530 -29.660 -26.530 -29.660
-26.529 -29.660 -26.529 -29.660
-26.529 -29.660 -26.529 -29.660
-26.529 -29.660 -26.529 -29.660
-26.529 -29.660 -26.529 -29.660
-26.530 -29.660 -26.530 -29.660
-26.531 -29.659 -26.531 -29.659
-26.530 -29.660 -26.530 -29.660
-26.529 -29.660 -26.529 -29.660
-26.530 -29.660 -26.530 -29.660
-26.531 -29.659 -26.531 -29.659
-26.531 -29.659 -26.531 -29.659
-26.532 -29.659 -26.532 -29.659
-26.531 -29.659 -26.531 -29.659
-26.532 -29.659 -26.532 -29.659
-26.531 -29.659 -26.531 -29.659
-26.532 -29.659 -26.532 -29.659
-26.532 -29.659 -26.532 -29.659
-26.531 -29.659 -26.531 -29.659
-26.533 -29.658 -26.533 -29.658
-26.533 -29.658 -26.533 -29.658
-26.532 -29.659 -26.532 -29.659
-26.532 -29.659 -26.532 -29.659
-26.532 -29.659 -26.532 -29.659
-26.532 -29.659 -26.532 -29.659
-26.532 -29.659 -26.532 -29.659
-26.532 -29.659 -26.532 -29.659
-26.533 -29.658 -26.533 -29.658
-26.533 -29.658 -26.533 -29.658
-26.533 -29.659 -26.533 -29.659
-26.533 -29.658 -26.533 -29.658
-26.533 -29.658 -26.533 -29.658
-26.534 -29.658 -26.534 -29.658
-26.534 -29.658 -26.534 -29.658
-26.533 -29.658 -26.533 -29.658
-26.533 -29.658 -26.533 -29.658
-26.532 -29.659 -26.532 -29.659
-26.512 -29.664 -26.512 -29.664
-26.498 -29.670 -26.498 -29.670
-26.498 -29.669 -26.498 -29.669
-26.476 -29.679 -26.476 -29.679
-26.484 -29.677 -26.484 -29.677
-26.516 -29.663 -26.516 -29.663
-26.495 -29.674 -26.495 -29.674
-26.533 -29.669 -26.533 -29.669
-26.570 -29.652 -26.570 -29.652
-26.580 -29.668 -26.580 -29.668
-26.542 -29.695 -26.542 -29.695
-26.595 -29.672 -26.595 -29.672
-26.546 -29.699 -26.546 -29.699
-26.544 -29.703 -26.544 -29.703
-26.540 -29.709 -26.540 -29.709
-26.615 -29.665 -26.615 -29.665
-26.631 -29.657 -26.631 -29.657
-26.577 -29.693 -26.577 -29.693
-26.588 -29.694 -26.588 -29.694
-26.600 -29.689 -26.600 -29.689
-26.611 -29.686 -26.611 -29.686
-26.613 -29.688 -26.613 -29.688
-26.668 -29.647 -26.668 -29.647
-26.675 -29.644 -26.675 -29.644
-26.623 -29.697 -26.623 -29.697
-26.643 -29.700 -26.643 -29.700
-26.691 -29.673 -26.691 -29.673
-26.643 -29.719 -26.643 -29.719
-26.654 -29.717 -26.654 -29.717
-26.704 -29.670 -26.704 -29.670
