t raw new accept
0.000 0.0000 0.0000 0
0.079 0.0362 0.0362 0
0.160 0.0381 0.0381 0
0.236 0.0445 0.0445 0
0.328 0.0568 0.0568 0
0.403 0.0697 0.0697 0
0.485 0.0839 0.0839 0
0.572 0.0983 0.0983 0
0.655 0.1132 0.1132 0
0.732 0.1282 0.1282 0
0.809 0.1422 0.1422 0
0.900 0.1593 0.1593 0
0.975 0.1692 0.1692 0
1.056 0.1816 0.1816 0
1.142 0.1962 0.1962 0
1.225 0.2071 0.2071 0
1.301 0.2176 0.2176 0
1.382 0.2277 0.2277 0
1.467 0.2368 0.2368 0
1.549 0.2456 0.2456 0
1.625 0.2552 0.2552 0
1.716 0.2649 0.2649 0
1.794 0.2724 0.2724 0
1.869 0.2798 0.2798 0
1.948 0.2851 0.2851 0
2.033 0.2893 0.2893 0
2.089 0.2914 0.0000 1
2.104 0.2915 0.0000 1
2.114 0.2920 0.0006 1
2.124 0.2920 0.0006 1
2.134 0.2925 0.0011 1
2.190 0.2936 0.0021 0
2.271 0.2981 0.0066 0
2.358 0.3070 0.0155 0
2.437 0.3157 0.0242 0
2.507 0.3254 0.0340 0
2.587 0.3370 0.0456 0
2.661 0.3475 0.0561 0
2.731 0.3589 0.0675 0
2.806 0.3710 0.0795 0
2.893 0.3848 0.0933 0
2.972 0.3936 0.1022 0
3.046 0.4005 0.1090 0
3.135 0.4035 0.1120 0
3.212 0.4040 0.1126 0
3.291 0.4041 0.1127 0
3.366 0.4042 0.1128 0
3.459 0.4044 0.1129 0
3.534 0.4062 0.1148 0
3.612 0.4131 0.1216 0
3.701 0.4265 0.1351 0
3.775 0.4357 0.1443 0
3.854 0.4527 0.1613 0
3.929 0.4641 0.1727 0
4.019 0.4814 0.1900 0
4.094 0.4956 0.2042 0
4.175 0.5082 0.2168 0
4.255 0.5218 0.2303 0
4.329 0.5333 0.2418 0
4.404 0.5479 0.2565 0
4.478 0.5617 0.2703 0
4.562 0.5752 0.2838 0
4.632 0.5851 0.2936 0
4.702 0.5972 0.3058 0
4.782 0.6092 0.3178 0
4.856 0.6191 0.3277 0
4.931 0.6280 0.3366 0
5.012 0.6347 0.3432 0
5.096 0.6423 0.3509 0
5.178 0.6506 0.3592 0
5.253 0.6583 0.3669 0
5.344 0.6652 0.3737 0
5.419 0.6705 0.3791 0
5.497 0.6741 0.0000 1
5.512 0.6741 0.0000 1
5.522 0.6746 0.0005 1
5.532 0.6746 0.0005 1
5.542 0.6749 0.0008 1
5.579 0.6754 0.0013 0
5.667 0.6806 0.0065 0
5.748 0.6880 0.0139 0
5.822 0.6983 0.0241 0
5.911 0.7084 0.0343 0
5.981 0.7193 0.0452 0
6.051 0.7307 0.0565 0
6.131 0.7427 0.0686 0
6.201 0.7539 0.0798 0
6.271 0.7649 0.0908 0
6.341 0.7748 0.1007 0
6.432 0.7821 0.1080 0
6.507 0.7848 0.1106 0
6.588 0.7852 0.1111 0
6.676 0.7853 0.1112 0
6.758 0.7854 0.1113 0
6.836 0.7856 0.1115 0
6.918 0.7863 0.1122 0
7.003 0.7921 0.1180 0
7.084 0.8014 0.1273 0
7.160 0.8128 0.1387 0
7.252 0.8286 0.1545 0
7.327 0.8394 0.1653 0
7.405 0.8525 0.1784 0
7.487 0.8698 0.1957 0
7.574 0.8847 0.2106 0
7.655 0.8983 0.2242 0
7.730 0.9124 0.2383 0
7.821 0.9260 0.2519 0
7.898 0.9390 0.2649 0
7.980 0.9533 0.2792 0
8.058 0.9659 0.2918 0
8.150 0.9795 0.3054 0
8.225 0.9872 0.3131 0
8.301 0.9974 0.3233 0
8.392 1.0056 0.3314 0
8.467 1.0133 0.3392 0
8.549 1.0212 0.3471 0
8.626 1.0289 0.3548 0
8.719 1.0359 0.3618 0
8.796 1.0415 0.3674 0
8.877 1.0454 0.3713 0
8.962 1.0470 0.3729 0
9.043 1.0475 0.3734 0
9.121 1.0520 0.3778 0
9.196 1.0603 0.3862 0
9.292 1.0693 0.3952 0
9.367 1.0806 0.4064 0
9.437 1.0916 0.4175 0
9.517 1.1042 0.4301 0
9.587 1.1150 0.4409 0
9.662 1.1248 0.4507 0
9.741 1.1353 0.4612 0
9.825 1.1471 0.4730 0
9.900 1.1529 0.4788 0
9.973 1.1558 0.4817 0
10.056 1.1567 0.4826 0
10.131 1.1568 0.4827 0
10.201 1.1569 0.4828 0
10.274 1.1570 0.4829 0
10.357 1.1571 0.4830 0
10.431 1.1609 0.4868 0
10.505 1.1692 0.4951 0
10.585 1.1811 0.5069 0
10.658 1.1902 0.5160 0
10.732 1.2014 0.5273 0
10.806 1.2128 0.5387 0
10.892 1.2248 0.5506 0
10.967 1.2361 0.5620 0
11.040 1.2485 0.5744 0
11.127 1.2611 0.5870 0
11.202 1.2743 0.6002 0
11.280 1.2876 0.6135 0
11.354 1.2970 0.6229 0
11.441 1.3112 0.6371 0
11.514 1.3223 0.6481 0
11.591 1.3335 0.6594 0
11.675 1.3445 0.6704 0
11.753 1.3547 0.6805 0
11.827 1.3613 0.6871 0
11.901 1.3694 0.6952 0
11.988 1.3760 0.7019 0
12.064 1.3810 0.7069 0
12.141 1.3874 0.7133 0
12.228 1.3941 0.7200 0
12.308 1.4011 0.7270 0
12.383 1.4073 0.7332 0
12.460 1.4115 0.7374 0
12.545 1.4195 0.7453 0
12.624 1.4293 0.7552 0
12.701 1.4393 0.7652 0
12.792 1.4520 0.7778 0
12.867 1.4634 0.7892 0
12.941 1.4758 0.8017 0
13.017 1.4871 0.8130 0
13.097 1.4999 0.8258 0
13.179 1.5113 0.8372 0
13.254 1.5241 0.8499 0
13.346 1.5370 0.8629 0
13.422 1.5475 0.8734 0
13.497 1.5575 0.8834 0
13.567 1.5640 0.8899 0
13.654 1.5668 0.8927 0
13.727 1.5674 0.8933 0
13.797 1.5720 0.8979 0
13.877 1.5797 0.9056 0
13.947 1.5880 0.9139 0
14.017 1.5997 0.9256 0
14.087 1.6097 0.9356 0
14.167 1.6237 0.9496 0
14.237 1.6381 0.9640 0
14.307 1.6494 0.9752 0
14.387 1.6667 0.9926 0
14.457 1.6773 1.0031 0
14.527 1.6910 1.0169 0
14.597 1.7012 1.0270 0
14.677 1.7148 1.0407 0
14.747 1.7274 1.0533 0
14.817 1.7375 1.0634 0
14.897 1.7507 1.0766 0
14.967 1.7644 1.0902 0
15.037 1.7746 1.1005 0
15.107 1.7892 1.1151 0
15.187 1.8029 1.1288 0
15.257 1.8130 1.1389 0
15.327 1.8258 1.1517 0
15.397 1.8357 1.1616 0
15.477 1.8480 1.1739 0
15.547 1.8595 1.1853 0
15.617 1.8664 1.1923 0
15.697 1.8757 1.2016 0
15.767 1.8830 1.2089 0
15.837 1.8874 1.2132 0
15.907 1.8936 1.2195 0
15.987 1.9008 1.2267 0
16.057 1.9062 1.2321 0
16.127 1.9132 1.2391 0
16.207 1.9198 1.2457 0
16.277 1.9236 1.2495 0
16.347 1.9272 1.2531 0
16.417 1.9281 1.2540 0
16.497 1.9295 1.2554 0
16.567 1.9341 1.2600 0
16.637 1.9415 1.2674 0
16.718 1.9515 1.2774 0
16.788 1.9618 1.2877 0
16.862 1.9716 1.2974 0
16.939 1.9806 1.3065 0
17.030 1.9895 1.3154 0
17.106 1.9980 1.3239 0
17.182 2.0068 1.3327 0
17.270 2.0174 1.3433 0
17.340 2.0288 1.3547 0
17.410 2.0399 1.3658 0
17.480 2.0514 1.3773 0
17.560 2.0642 1.3901 0
17.630 2.0742 1.4001 0
17.713 2.0822 1.4081 0
17.799 2.0903 1.4162 0
17.883 2.0993 1.4251 0
17.959 2.1083 1.4342 0
18.034 2.1191 1.4450 0
18.118 2.1295 1.4553 0
18.188 2.1378 1.4636 0
18.259 2.1447 1.4705 0
18.339 2.1533 1.4791 0
18.409 2.1631 1.4890 0
18.479 2.1714 1.4973 0
18.549 2.1829 1.5088 0
18.629 2.1958 1.5217 0
18.699 2.2066 1.5325 0
18.769 2.2205 1.5464 0
18.849 2.2346 1.5605 0
18.919 2.2453 1.5711 0
18.989 2.2594 1.5852 0
19.059 2.2700 1.5959 0
19.139 2.2850 1.6109 0
19.209 2.2996 1.6255 0
19.279 2.3097 1.6356 0
19.359 2.3257 1.6516 0
19.429 2.3402 1.6661 0
19.499 2.3498 1.6757 0
19.569 2.3629 1.6887 0
19.649 2.3752 1.7010 0
19.719 2.3837 1.7096 0
19.789 2.3948 1.7206 0
19.869 2.4057 1.7316 0
19.939 2.4135 1.7394 0
20.009 2.4229 1.7487 0
20.079 2.4294 1.7552 0
20.159 2.4377 1.7636 0
20.229 2.4459 1.7718 0
20.299 2.4525 1.7784 0
20.379 2.4573 1.7832 0
20.449 2.4586 1.7845 0
20.519 2.4620 1.7878 0
20.589 2.4687 1.7946 0
20.669 2.4782 1.8041 0
20.739 2.4879 1.8138 0
20.815 2.4982 1.8241 0
20.901 2.5103 1.8362 0
20.980 2.5207 1.8466 0
21.054 2.5323 1.8582 0
21.134 2.5433 1.8692 0
21.219 2.5556 1.8815 0
21.301 2.5662 1.8920 0
21.374 2.5781 1.9040 0
21.454 2.5913 1.9172 0
21.524 2.6031 1.9290 0
21.594 2.6148 1.9407 0
21.674 2.6223 1.9482 0
21.761 2.6255 1.9514 0
21.843 2.6304 1.9563 0
21.921 2.6363 1.9622 0
22.011 2.6442 1.9701 0
22.086 2.6542 1.9801 0
22.165 2.6664 1.9923 0
22.238 2.6764 2.0022 0
22.325 2.6919 2.0177 0
22.400 2.7012 2.0271 0
22.473 2.7139 2.0398 0
22.560 2.7275 2.0533 0
22.633 2.7399 2.0658 0
22.710 2.7528 2.0787 0
22.783 2.7617 2.0875 0
22.873 2.7766 2.1025 0
22.947 2.7875 2.1134 0
23.023 2.7950 2.1209 0
23.108 2.8068 2.1327 0
23.184 2.8128 2.1387 0
23.260 2.8180 2.1439 0
23.335 2.8219 2.1477 0
23.426 2.8251 2.1510 0
23.502 2.8282 2.1541 0
23.583 2.8303 2.1561 0
23.671 2.8325 0.0000 1
23.686 2.8330 0.0005 1
23.696 2.8331 0.0006 1
23.706 2.8336 0.0010 1
23.716 2.8336 0.0011 1
23.752 2.8341 0.0016 0
23.827 2.8378 0.0052 0
23.908 2.8432 0.0106 0
23.994 2.8519 0.0193 0
24.074 2.8606 0.0281 0
24.144 2.8704 0.0379 0
24.224 2.8816 0.0491 0
24.294 2.8923 0.0597 0
24.367 2.9027 0.0702 0
24.437 2.9136 0.0811 0
24.521 2.9261 0.0936 0
24.600 2.9363 0.1037 0
24.675 2.9456 0.1130 0
24.763 2.9576 0.1251 0
24.841 2.9677 0.1351 0
24.924 2.9787 0.1462 0
24.994 2.9881 0.1555 0
25.074 2.9914 0.1588 0
25.145 2.9953 0.1628 0
25.215 3.0033 0.1708 0
25.295 3.0148 0.1823 0
25.365 3.0244 0.1919 0
25.435 3.0375 0.2050 0
25.505 3.0479 0.2153 0
25.585 3.0619 0.2293 0
25.655 3.0753 0.2428 0
25.725 3.0869 0.2544 0
25.805 3.1024 0.2699 0
25.875 3.1169 0.2844 0
25.945 3.1280 0.2954 0
26.015 3.1416 0.3091 0
26.095 3.1552 0.3227 0
26.165 3.1659 0.3334 0
26.235 3.1797 0.3471 0
26.315 3.1925 0.3600 0
26.385 3.2027 0.3702 0
26.455 3.2151 0.3826 0
26.525 3.2248 0.3922 0
26.605 3.2374 0.4048 0
26.675 3.2489 0.4164 0
26.745 3.2575 0.4250 0
26.825 3.2675 0.4350 0
26.895 3.2772 0.4446 0
26.965 3.2837 0.4512 0
27.035 3.2904 0.4578 0
27.115 3.2969 0.4644 0
27.185 3.3026 0.4700 0
27.255 3.3095 0.4769 0
27.335 3.3163 0.4837 0
27.405 3.3216 0.4891 0
27.475 3.3274 0.4949 0
27.545 3.3310 0.4984 0
27.625 3.3346 0.5020 0
27.695 3.3371 0.5046 0
27.765 3.3376 0.5051 0
27.845 3.3394 0.5068 0
27.915 3.3450 0.5125 0
27.985 3.3526 0.5201 0
28.055 3.3609 0.5284 0
28.135 3.3724 0.5399 0
28.210 3.3816 0.5490 0
28.291 3.3912 0.5587 0
28.376 3.4042 0.5717 0
28.461 3.4126 0.5800 0
28.537 3.4234 0.5909 0
28.612 3.4335 0.6009 0
28.692 3.4453 0.6128 0
28.762 3.4553 0.6228 0
28.832 3.4651 0.6326 0
28.916 3.4783 0.6458 0
28.995 3.4876 0.6551 0
29.070 3.4941 0.6615 0
29.150 3.4987 0.6662 0
29.234 3.5069 0.6743 0
29.308 3.5165 0.6840 0
29.378 3.5248 0.6922 0
29.464 3.5392 0.7066 0
29.538 3.5483 0.7158 0
29.609 3.5605 0.7280 0
29.686 3.5730 0.7404 0
29.769 3.5860 0.7535 0
29.846 3.5995 0.7669 0
29.919 3.6099 0.7773 0
30.007 3.6271 0.7945 0
30.081 3.6365 0.8040 0
30.160 3.6484 0.8159 0
30.234 3.6590 0.8265 0
30.320 3.6694 0.8369 0
30.394 3.6780 0.8455 0
30.467 3.6862 0.8537 0
30.556 3.6929 0.8603 0
30.630 3.6991 0.8666 0
30.708 3.7049 0.8723 0
30.782 3.7098 0.8773 0
30.871 3.7180 0.8854 0
30.944 3.7229 0.8904 0
31.025 3.7298 0.8972 0
31.110 3.7371 0.9045 0
31.191 3.7418 0.9093 0
31.231 3.7437 0.0000 1
31.245 3.7444 0.0007 1
31.255 3.7444 0.0007 1
31.265 3.7449 0.0012 1
31.275 3.7449 0.0012 1
31.340 3.7476 0.0039 0
31.429 3.7548 0.0110 0
31.503 3.7632 0.0195 0
31.584 3.7728 0.0290 0
31.670 3.7843 0.0405 0
31.753 3.7941 0.0503 0
31.830 3.8040 0.0603 0
31.911 3.8150 0.0713 0
31.991 3.8282 0.0845 0
32.066 3.8395 0.0958 0
32.142 3.8473 0.1036 0
32.233 3.8520 0.1082 0
32.309 3.8527 0.1090 0
32.384 3.8528 0.1091 0
32.441 3.8529 0.0000 1
32.456 3.8529 0.0000 1
32.466 3.8529 0.0000 1
