ox oy ex ey
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-27.001 -36.000 -27.001 -36.000
-27.247 -38.554 -27.247 -38.554
-27.247 -38.554 -27.247 -38.554
-27.247 -38.554 -27.247 -38.554
-27.246 -38.554 -27.246 -38.554
-27.241 -38.474 -27.241 -38.474
-27.203 -38.369 -27.203 -38.369
-27.203 -38.258 -27.203 -38.258
-27.211 -38.134 -27.211 -38.134
-27.224 -37.985 -27.224 -37.985
-27.224 -37.819 -27.224 -37.819
-27.199 -37.630 -27.199 -37.630
-27.177 -37.440 -27.177 -37.440
-27.173 -37.249 -27.173 -37.249
-27.179 -36.995 -27.179 -36.995
-27.190 -36.726 -27.190 -36.726
-27.184 -36.439 -27.184 -36.439
-27.188 -36.168 -27.188 -36.168
-27.174 -35.888 -27.174 -35.888
-27.152 -35.604 -27.152 -35.604
-27.131 -35.328 -27.131 -35.328
-27.119 -35.069 -27.119 -35.069
-27.142 -34.512 -27.142 -34.512
-27.161 -34.209 -27.161 -34.209
-27.172 -33.910 -27.172 -33.910
-27.168 -33.632 -27.168 -33.632
-27.166 -33.328 -27.166 -33.328
-27.159 -33.020 -27.159 -33.020
-27.133 -32.711 -27.133 -32.711
-27.094 -32.399 -27.094 -32.399
-27.108 -32.069 -27.108 -32.069
-27.133 -31.740 -27.133 -31.740
-27.162 -31.083 -27.162 -31.083
-27.161 -30.757 -27.161 -30.757
-27.157 -30.757 -27.157 -30.757
-27.145 -30.413 -27.145 -30.413
-27.118 -30.063 -27.118 -30.063
-27.113 -29.776 -27.113 -29.776
-27.136 -29.113 -27.136 -29.113
-27.155 -28.754 -27.155 -28.754
-27.163 -28.454 -27.163 -28.454
-27.163 -28.162 -27.163 -28.162
-27.155 -27.598 -27.155 -27.598
-27.154 -27.598 -27.154 -27.598
-27.121 -27.332 -27.121 -27.332
-27.102 -27.025 -27.102 -27.025
-27.107 -26.440 -27.107 -26.440
-27.114 -26.158 -27.114 -26.158
-27.124 -25.905 -27.124 -25.905
-27.133 -25.651 -27.133 -25.651
-27.136 -25.353 -27.136 -25.353
-27.127 -25.100 -27.127 -25.100
-27.104 -24.861 -27.104 -24.861
-27.072 -24.591 -27.072 -24.591
-27.059 -24.328 -27.059 -24.328
-27.052 -24.095 -27.052 -24.095
-27.049 -23.814 -27.049 -23.814
-27.060 -23.565 -27.060 -23.565
-27.067 -23.302 -27.067 -23.302
-27.062 -23.053 -27.062 -23.053
-27.046 -22.814 -27.046 -22.814
-27.039 -22.594 -27.039 -22.594
-27.033 -22.370 -27.033 -22.370
-27.017 -22.123 -27.017 -22.123
-26.998 -21.644 -26.998 -21.644
-26.996 -21.442 -26.996 -21.442
-27.005 -21.233 -27.005 -21.233
-26.996 -21.021 -26.996 -21.021
-26.983 -20.814 -26.983 -20.814
-26.956 -20.608 -26.956 -20.608
-26.951 -20.380 -26.951 -20.380
-26.925 -20.189 -26.925 -20.189
-26.915 -19.994 -26.915 -19.994
-26.905 -19.806 -26.905 -19.806
-26.896 -19.599 -26.896 -19.599
-26.884 -19.369 -26.884 -19.369
-26.883 -19.161 -26.883 -19.161
-26.883 -18.964 -26.883 -18.964
-26.872 -18.750 -26.872 -18.750
-26.864 -18.549 -26.864 -18.549
-26.851 -18.181 -26.851 -18.181
-26.843 -18.031 -26.843 -18.031
-26.836 -17.906 -26.836 -17.906
-26.830 -17.782 -26.830 -17.782
-26.827 -17.656 -26.827 -17.656
-26.827 -17.539 -26.827 -17.539
-26.823 -17.433 -26.823 -17.433
-26.817 -17.360 -26.817 -17.360
-26.813 -17.285 -26.813 -17.285
-26.806 -17.195 -26.806 -17.195
-26.802 -17.117 -26.802 -17.117
-26.800 -17.045 -26.800 -17.045
-26.799 -16.980 -26.799 -16.980
-26.796 -16.915 -26.796 -16.915
-26.797 -16.849 -26.797 -16.849
-26.796 -16.793 -26.796 -16.793
-26.790 -16.703 -26.790 -16.703
-26.793 -16.703 -26.793 -16.703
-26.789 -16.657 -26.887 -17.395
-26.791 -16.621 -26.888 -17.359
-26.790 -16.602 -26.887 -17.340
-26.790 -16.602 -26.887 -17.340
-26.788 -16.588 -26.886 -17.327
-26.753 -16.586 -26.850 -17.324
-26.715 -16.587 -26.812 -17.325
-26.704 -16.586 -26.802 -17.324
-26.618 -16.600 -26.716 -17.338
-26.592 -16.616 -26.690 -17.354
-26.668 -16.623 -26.766 -17.362
-26.667 -16.642 -26.765 -17.380
-26.691 -16.654 -26.789 -17.392
-26.605 -16.695 -26.703 -17.433
-26.627 -16.725 -26.725 -17.463
-26.638 -16.749 -26.736 -17.488
-26.656 -16.775 -26.753 -17.513
-26.677 -16.797 -26.774 -17.535
-26.691 -16.820 -26.789 -17.558
-26.814 -16.796 -26.911 -17.534
-26.857 -16.808 -26.955 -17.547
-26.874 -16.814 -26.971 -17.552
-26.903 -16.826 -27.001 -17.564
-26.941 -16.847 -27.039 -17.585
-26.958 -16.860 -27.056 -17.598
-27.005 -16.862 -27.103 -17.600
-26.904 -16.978 -27.002 -17.716
-26.944 -16.964 -27.042 -17.702
