t raw new accept
0.000 0.0000 0.0000 0
0.020 0.0000 0.0000 0
0.040 0.0000 0.0000 0
0.066 0.0000 0.0000 0
0.086 0.0000 0.0000 0
0.122 0.0000 0.0000 0
0.143 0.0000 0.0000 0
0.169 0.0000 0.0000 0
0.189 0.0000 0.0000 0
0.209 0.0000 0.0000 0
0.244 0.0000 0.0000 0
0.264 0.0000 0.0000 0
0.291 0.0000 0.0000 0
0.311 0.0000 0.0000 0
0.336 0.0000 0.0000 0
0.366 0.0000 0.0000 0
0.392 0.0000 0.0000 0
0.412 0.0000 0.0000 0
0.432 0.0000 0.0000 0
0.457 0.0000 0.0000 0
0.487 0.0000 0.0000 0
0.513 0.0000 0.0000 0
0.533 0.0000 0.0000 0
0.557 0.0000 0.0000 0
0.577 0.0000 0.0000 0
0.613 0.0000 0.0000 0
0.633 0.0000 0.0000 0
0.653 0.0000 0.0000 0
0.680 0.0000 0.0000 0
0.700 0.0000 0.0000 0
0.736 0.0000 0.0000 0
0.756 0.0000 0.0000 0
0.780 0.0000 0.0000 0
0.800 0.0000 0.0000 0
0.820 0.0000 0.0000 0
0.855 0.0000 0.0000 0
0.875 0.0000 0.0000 0
0.899 0.0000 0.0000 0
0.919 0.0000 0.0000 0
0.944 0.0000 0.0000 0
0.974 0.0000 0.0000 0
0.998 0.0000 0.0000 0
1.018 0.0000 0.0000 0
1.038 0.0000 0.0000 0
1.062 0.0000 0.0000 0
1.092 0.0000 0.0000 0
1.118 0.0000 0.0000 0
1.138 0.0000 0.0000 0
1.162 0.0000 0.0000 0
1.182 0.0000 0.0000 0
1.220 0.0000 0.0000 0
1.240 0.0000 0.0000 0
1.260 0.0000 0.0000 0
1.284 0.0000 0.0000 0
1.304 0.0000 0.0000 0
1.340 0.0000 0.0000 0
1.360 0.0000 0.0000 0
1.387 0.0000 0.0000 0
1.407 0.0000 0.0000 0
1.427 0.0000 0.0000 0
1.461 0.0000 0.0000 0
1.481 0.0000 0.0000 0
1.505 0.0000 0.0000 0
1.526 0.0000 0.0000 0
1.552 0.0000 0.0000 0
1.582 0.0000 0.0000 0
1.606 0.0000 0.0000 0
1.626 0.0000 0.0000 0
1.646 0.0000 0.0000 0
1.672 0.0000 0.0000 0
1.702 0.0000 0.0000 0
1.726 0.0000 0.0000 0
1.746 0.0000 0.0000 0
1.772 0.0000 0.0000 0
1.792 0.0000 0.0000 0
1.826 0.0000 0.0000 0
1.846 0.0000 0.0000 0
1.866 0.0000 0.0000 0
