ox oy ex ey
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
52.348 -3.025 52.348 -3.025
52.348 -3.025 52.348 -3.025
52.354 -3.012 52.354 -3.012
52.373 -2.985 52.373 -2.985
52.397 -2.992 52.397 -2.992
52.421 -3.004 52.421 -3.004
52.459 -3.005 52.459 -3.005
52.462 -3.007 52.462 -3.007
52.469 -3.009 52.469 -3.009
52.473 -3.014 52.473 -3.014
52.462 -3.029 52.462 -3.029
52.461 -3.032 52.461 -3.032
52.394 -3.029 52.394 -3.029
52.395 -3.031 52.395 -3.031
52.376 -3.040 52.376 -3.040
52.444 -3.051 52.444 -3.051
52.438 -3.067 52.438 -3.067
52.446 -3.072 52.446 -3.072
52.365 -3.057 52.365 -3.057
52.380 -3.056 52.380 -3.056
52.398 -3.060 52.398 -3.060
52.480 -3.083 52.480 -3.083
52.501 -3.090 52.501 -3.090
52.341 -3.022 52.341 -3.022
52.426 -3.052 52.426 -3.052
52.421 -3.027 52.421 -3.027
52.437 -2.972 52.437 -2.972
52.423 -2.880 52.423 -2.880
52.459 -2.833 52.459 -2.833
52.483 -2.801 52.483 -2.801
52.495 -2.807 52.495 -2.807
52.509 -2.764 52.509 -2.764
52.526 -2.713 52.526 -2.713
52.526 -2.660 52.526 -2.660
52.522 -2.640 52.522 -2.640
52.522 -2.637 52.522 -2.637
52.517 -2.624 52.517 -2.624
52.517 -2.620 52.517 -2.620
52.512 -2.618 52.512 -2.618
52.514 -2.618 52.514 -2.618
52.525 -2.612 52.525 -2.612
52.523 -2.611 52.523 -2.611
52.525 -2.612 52.525 -2.612
52.526 -2.609 52.526 -2.609
52.524 -2.608 52.524 -2.608
52.526 -2.605 52.526 -2.605
52.525 -2.605 52.525 -2.605
52.525 -2.605 52.525 -2.605
52.524 -2.605 52.524 -2.605
52.524 -2.604 52.524 -2.604
52.523 -2.604 52.523 -2.604
52.525 -2.605 52.525 -2.605
52.525 -2.602 52.525 -2.602
52.525 -2.602 52.525 -2.602
52.523 -2.597 52.523 -2.597
52.522 -2.597 52.522 -2.597
52.523 -2.593 52.523 -2.593
52.525 -2.592 52.525 -2.592
52.528 -2.594 52.528 -2.594
52.529 -2.594 52.529 -2.594
52.529 -2.592 52.529 -2.592
52.530 -2.593 52.530 -2.593
52.532 -2.587 52.532 -2.587
52.534 -2.587 52.534 -2.587
52.535 -2.588 52.535 -2.588
52.535 -2.584 52.535 -2.584
52.536 -2.581 52.536 -2.581
52.537 -2.578 52.537 -2.578
52.538 -2.578 52.538 -2.578
52.538 -2.575 52.538 -2.575
52.540 -2.572 52.540 -2.572
52.539 -2.572 52.539 -2.572
52.538 -2.571 52.538 -2.571
52.536 -2.571 52.536 -2.571
52.537 -2.564 52.537 -2.564
52.540 -2.565 52.540 -2.565
52.539 -2.564 52.539 -2.564
52.542 -2.562 52.542 -2.562
52.549 -2.561 52.549 -2.561
52.548 -2.557 52.548 -2.557
52.546 -2.554 52.546 -2.554
52.554 -2.554 52.554 -2.554
52.554 -2.554 52.554 -2.554
52.555 -2.555 52.555 -2.555
52.557 -2.552 52.557 -2.552
52.559 -2.553 52.559 -2.553
52.559 -2.553 52.559 -2.553
52.559 -2.551 52.559 -2.551
52.560 -2.552 52.560 -2.552
52.584 -2.546 52.584 -2.546
52.644 -2.542 52.644 -2.542
52.618 -2.532 52.618 -2.532
52.618 -2.533 52.618 -2.533
52.643 -2.546 52.643 -2.546
52.611 -2.533 52.611 -2.533
52.613 -2.520 52.613 -2.520
52.617 -2.495 52.617 -2.495
52.672 -2.501 52.672 -2.501
52.678 -2.500 52.678 -2.500
52.628 -2.474 52.628 -2.474
52.685 -2.493 52.685 -2.493
52.689 -2.473 52.689 -2.473
52.625 -2.436 52.625 -2.436
52.642 -2.408 52.642 -2.408
52.667 -2.366 52.667 -2.366
52.755 -2.388 52.755 -2.388
52.686 -2.307 52.686 -2.307
52.700 -2.262 52.700 -2.262
52.869 -2.348 52.869 -2.348
52.908 -2.317 52.908 -2.317
52.982 -2.287 52.982 -2.287
52.907 -2.216 52.907 -2.216
52.967 -2.154 52.967 -2.154
53.107 -2.141 53.107 -2.141
52.956 -1.964 52.956 -1.964
53.112 -1.952 53.112 -1.952
53.166 -1.899 53.166 -1.899
53.101 -1.811 53.101 -1.811
53.150 -1.782 53.150 -1.782
53.178 -1.728 53.178 -1.728
53.277 -1.817 53.277 -1.817
53.311 -1.788 53.311 -1.788
53.324 -1.743 53.324 -1.743
53.255 -1.600 53.255 -1.600
53.297 -1.586 53.297 -1.586
53.355 -1.591 53.355 -1.591
53.462 -1.707 53.462 -1.707
53.514 -1.674 53.514 -1.674
53.568 -1.659 53.568 -1.659
53.536 -1.528 53.536 -1.528
53.586 -1.532 53.586 -1.532
53.646 -1.535 53.646 -1.535
53.754 -1.852 53.754 -1.852
53.841 -1.833 53.841 -1.833
53.838 -1.656 53.838 -1.656
53.957 -1.679 53.957 -1.679
54.089 -1.696 54.089 -1.696
54.179 -1.879 54.179 -1.879
54.284 -1.907 54.284 -1.907
