ox oy ex ey
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-16.617 -46.470 -16.617 -46.470
-16.617 -46.470 -16.617 -46.470
-16.610 -46.467 -16.610 -46.467
-16.599 -46.420 -16.599 -46.420
-16.545 -46.418 -16.545 -46.418
-16.501 -46.418 -16.501 -46.418
-16.529 -46.418 -16.529 -46.418
-16.530 -46.419 -16.530 -46.419
-16.537 -46.419 -16.537 -46.419
-16.496 -46.422 -16.496 -46.422
-16.509 -46.423 -16.509 -46.423
-16.566 -46.429 -16.566 -46.429
-16.570 -46.447 -16.570 -46.447
-16.517 -46.458 -16.517 -46.458
-16.573 -46.463 -16.573 -46.463
-16.583 -46.488 -16.583 -46.488
-16.588 -46.510 -16.588 -46.510
-16.532 -46.520 -16.532 -46.520
-16.538 -46.532 -16.538 -46.532
-16.632 -46.524 -16.632 -46.524
-16.567 -46.539 -16.567 -46.539
-16.578 -46.553 -16.578 -46.553
-16.576 -46.557 -16.576 -46.557
-16.648 -46.537 -16.648 -46.537
-16.650 -46.538 -16.650 -46.538
-16.648 -46.534 -16.648 -46.534
-16.659 -46.522 -16.659 -46.522
-16.635 -46.471 -16.635 -46.471
-16.576 -46.408 -16.576 -46.408
-16.529 -46.354 -16.529 -46.354
-16.513 -46.304 -16.513 -46.304
-16.500 -46.265 -16.500 -46.265
-16.486 -46.227 -16.486 -46.227
-16.472 -46.184 -16.472 -46.184
-16.479 -46.181 -16.479 -46.181
-16.467 -46.141 -16.467 -46.141
-16.463 -46.130 -16.463 -46.130
-16.476 -46.123 -16.476 -46.123
-16.485 -46.129 -16.485 -46.129
-16.490 -46.127 -16.490 -46.127
-16.499 -46.127 -16.499 -46.127
-16.504 -46.132 -16.504 -46.132
-16.506 -46.131 -16.506 -46.131
-16.511 -46.133 -16.511 -46.133
-16.511 -46.134 -16.511 -46.134
-16.510 -46.135 -16.510 -46.135
-16.506 -46.136 -16.506 -46.136
-16.506 -46.130 -16.506 -46.130
-16.497 -46.123 -16.497 -46.123
-16.498 -46.118 -16.498 -46.118
-16.500 -46.115 -16.500 -46.115
-16.499 -46.116 -16.499 -46.116
-16.493 -46.108 -16.493 -46.108
-16.490 -46.099 -16.490 -46.099
-16.493 -46.093 -16.493 -46.093
-16.496 -46.092 -16.496 -46.092
-16.496 -46.092 -16.496 -46.092
-16.493 -46.093 -16.493 -46.093
-16.492 -46.092 -16.492 -46.092
-16.493 -46.092 -16.493 -46.092
-16.494 -46.091 -16.494 -46.091
-16.493 -46.092 -16.493 -46.092
-16.495 -46.091 -16.495 -46.091
-16.495 -46.089 -16.495 -46.089
-16.495 -46.090 -16.495 -46.090
-16.499 -46.088 -16.499 -46.088
-16.495 -46.090 -16.495 -46.090
-16.495 -46.089 -16.495 -46.089
-16.494 -46.090 -16.494 -46.090
-16.495 -46.089 -16.495 -46.089
-16.496 -46.089 -16.496 -46.089
-16.498 -46.078 -16.498 -46.078
-16.498 -46.078 -16.498 -46.078
-16.498 -46.078 -16.498 -46.078
-16.488 -46.060 -16.488 -46.060
-16.488 -46.060 -16.488 -46.060
-16.488 -46.046 -16.488 -46.046
-16.485 -46.044 -16.485 -46.044
-16.485 -46.042 -16.485 -46.042
-16.483 -46.036 -16.483 -46.036
-16.475 -46.039 -16.475 -46.039
-16.474 -46.038 -16.474 -46.038
-16.472 -46.031 -16.472 -46.031
-16.474 -46.023 -16.474 -46.023
-16.471 -46.025 -16.471 -46.025
-16.464 -46.017 -16.464 -46.017
-16.434 -46.003 -16.434 -46.003
-16.432 -45.991 -16.432 -45.991
-16.425 -45.991 -16.425 -45.991
-16.398 -45.999 -16.398 -45.999
-16.394 -46.002 -16.394 -46.002
-16.392 -46.004 -16.392 -46.004
-16.393 -46.006 -16.393 -46.006
-16.395 -46.007 -16.395 -46.007
-16.407 -46.004 -16.407 -46.004
-16.460 -45.978 -16.460 -45.978
-16.471 -45.974 -16.471 -45.974
-16.426 -45.999 -16.426 -45.999
-16.429 -46.000 -16.429 -46.000
-16.378 -46.033 -16.378 -46.033
-16.422 -46.008 -16.422 -46.008
-16.373 -46.041 -16.373 -46.041
-16.376 -46.042 -16.376 -46.042
-16.426 -46.013 -16.426 -46.013
-16.440 -46.006 -16.440 -46.006
-16.439 -46.011 -16.439 -46.011
-16.493 -45.974 -16.493 -45.974
-16.440 -46.018 -16.440 -46.018
-16.461 -46.010 -16.461 -46.010
-16.523 -45.961 -16.523 -45.961
-16.534 -45.954 -16.534 -45.954
-16.483 -45.999 -16.483 -45.999
-16.500 -45.989 -16.500 -45.989
-16.572 -45.927 -16.572 -45.927
-16.521 -45.979 -16.521 -45.979
-16.529 -45.976 -16.529 -45.976
-16.533 -45.977 -16.533 -45.977
-16.596 -45.911 -16.596 -45.911
-16.590 -45.920 -16.590 -45.920
-16.598 -45.913 -16.598 -45.913
-16.546 -45.980 -16.546 -45.980
-16.538 -45.987 -16.538 -45.987
-16.609 -45.895 -16.609 -45.895
-16.609 -45.869 -16.609 -45.869
-16.606 -45.858 -16.606 -45.858
