t raw new accept
0.000 0.0000 0.0000 0
0.020 0.0000 0.0000 0
0.040 0.0000 0.0000 0
0.074 0.0000 0.0000 0
0.094 0.0000 0.0000 0
0.118 0.0000 0.0000 0
0.148 0.0000 0.0000 0
0.171 0.0000 0.0000 0
0.192 0.0000 0.0000 0
0.225 0.0000 0.0000 0
0.245 0.0000 0.0000 0
0.270 0.0000 0.0000 0
0.300 0.0000 0.0000 0
0.325 0.0000 0.0000 0
0.346 0.0000 0.0000 0
0.382 0.0000 0.0000 0
0.402 0.0000 0.0000 0
0.422 0.0000 0.0000 0
0.457 0.0000 0.0000 0
0.477 0.0000 0.0000 0
0.503 0.0000 0.0000 0
0.533 0.0000 0.0000 0
0.558 0.0000 0.0000 0
0.578 0.0000 0.0000 0
0.616 0.0000 0.0000 0
0.636 0.0000 0.0000 0
0.660 0.0000 0.0000 0
0.690 0.0000 0.0000 0
0.716 0.0000 0.0000 0
0.736 0.0000 0.0000 0
0.770 0.0000 0.0000 0
0.790 0.0000 0.0000 0
0.810 0.0000 0.0000 0
0.846 0.0000 0.0000 0
0.866 0.0000 0.0000 0
0.891 0.0000 0.0000 0
0.921 0.0000 0.0000 0
0.947 0.0000 0.0000 0
0.977 0.0000 0.0000 0
1.003 0.0000 0.0000 0
1.023 0.0000 0.0000 0
1.058 0.0000 0.0000 0
1.078 0.0000 0.0000 0
1.102 0.0000 0.0000 0
1.132 0.0000 0.0000 0
1.158 0.0000 0.0000 0
1.178 0.0000 0.0000 0
1.212 0.0000 0.0000 0
1.232 0.0000 0.0000 0
1.252 0.0000 0.0000 0
1.289 0.0000 0.0000 0
1.309 0.0000 0.0000 0
1.334 0.0000 0.0000 0
1.364 0.0000 0.0000 0
1.390 0.0000 0.0000 0
1.410 0.0000 0.0000 0
1.444 0.0000 0.0000 0
1.464 0.0000 0.0000 0
1.490 0.0000 0.0000 0
1.520 0.0000 0.0000 0
1.544 0.0000 0.0000 0
1.565 0.0000 0.0000 0
1.601 0.0000 0.0000 0
1.621 0.0000 0.0000 0
1.641 0.0000 0.0000 0
1.676 0.0000 0.0000 0
1.696 0.0000 0.0000 0
1.721 0.0000 0.0000 0
1.751 0.0000 0.0000 0
1.775 0.0000 0.0000 0
1.805 0.0000 0.0000 0
1.829 0.0000 0.0000 0
1.849 0.0000 0.0000 0
1.885 0.0000 0.0000 0
1.905 0.0000 0.0000 0
1.930 0.0000 0.0000 0
1.960 0.0000 0.0000 0
1.985 0.0000 0.0000 0
