t raw new accept
0.000 0.0000 0.0000 0
0.020 0.0000 0.0000 0
0.044 0.0000 0.0000 0
0.075 0.0000 0.0000 0
0.098 0.0000 0.0000 0
0.118 0.0000 0.0000 0
0.151 0.0000 0.0000 0
0.171 0.0000 0.0000 0
0.191 0.0000 0.0000 0
0.225 0.0000 0.0000 0
0.245 0.0000 0.0000 0
0.278 0.0000 0.0000 0
0.298 0.0000 0.0000 0
0.318 0.0000 0.0000 0
0.348 0.0000 0.0000 0
0.368 0.0000 0.0000 0
0.388 0.0000 0.0000 0
0.420 0.0000 0.0000 0
0.440 0.0000 0.0000 0
0.462 0.0000 0.0000 0
0.492 0.0000 0.0000 0
0.515 0.0000 0.0000 0
0.545 0.0000 0.0000 0
0.568 0.0000 0.0000 0
0.588 0.0000 0.0000 0
0.622 0.0000 0.0000 0
0.642 0.0000 0.0000 0
0.662 0.0000 0.0000 0
0.694 0.0000 0.0000 0
0.714 0.0000 0.0000 0
0.736 0.0000 0.0000 0
0.766 0.0000 0.0000 0
0.788 0.0000 0.0000 0
0.818 0.0000 0.0000 0
0.840 0.0000 0.0000 0
0.860 0.0000 0.0000 0
0.892 0.0000 0.0000 0
0.912 0.0000 0.0000 0
0.935 0.0000 0.0000 0
0.965 0.0000 0.0000 0
0.988 0.0000 0.0000 0
1.018 0.0000 0.0000 0
1.040 0.0000 0.0000 0
1.060 0.0000 0.0000 0
1.092 0.0000 0.0000 0
1.112 0.0000 0.0000 0
1.132 0.0000 0.0000 0
1.164 0.0000 0.0000 0
1.184 0.0000 0.0000 0
1.207 0.0000 0.0000 0
1.237 0.0000 0.0000 0
1.261 0.0000 0.0000 0
1.291 0.0000 0.0000 0
1.313 0.0000 0.0000 0
1.333 0.0000 0.0000 0
1.365 0.0000 0.0000 0
1.385 0.0000 0.0000 0
1.407 0.0000 0.0000 0
1.437 0.0000 0.0000 0
1.459 0.0000 0.0000 0
1.479 0.0000 0.0000 0
1.514 0.0000 0.0000 0
1.534 0.0000 0.0000 0
1.567 0.0000 0.0000 0
1.587 0.0000 0.0000 0
1.607 0.0000 0.0000 0
1.640 0.0000 0.0000 0
1.660 0.0000 0.0000 0
1.684 0.0000 0.0000 0
1.714 0.0000 0.0000 0
1.740 0.0000 0.0000 0
1.770 0.0000 0.0000 0
1.795 0.0000 0.0000 0
1.815 0.0000 0.0000 0
1.850 0.0000 0.0000 0
1.871 0.0000 0.0000 0
1.896 0.0000 0.0000 0
1.926 0.0000 0.0000 0
