ox oy ex ey
-2.240 -27.350 -2.617 -29.072
-2.271 -27.843 -2.648 -29.565
-2.289 -28.178 -2.666 -29.899
-2.308 -28.667 -2.685 -30.389
-2.325 -29.143 -2.703 -30.865
-2.337 -29.541 -2.714 -31.262
-2.357 -29.892 -2.734 -31.614
-2.369 -30.078 -2.746 -31.800
-2.366 -30.279 -2.744 -32.001
-2.356 -30.355 -2.733 -32.077
-2.360 -30.362 -2.738 -32.084
-2.446 -30.341 -2.824 -32.063
-2.453 -30.268 -2.830 -31.990
-2.304 -30.206 -2.681 -31.928
-2.244 -30.151 -2.622 -31.873
-2.202 -30.076 -2.579 -31.798
-2.259 -29.988 -2.636 -31.710
-2.100 -29.970 -2.477 -31.692
-2.142 -29.828 -2.519 -31.550
-2.031 -29.764 -2.408 -31.485
-1.866 -29.806 -2.243 -31.528
-1.855 -29.686 -2.233 -31.408
-1.743 -29.665 -2.120 -31.387
-1.622 -29.839 -2.000 -31.561
-1.528 -29.860 -1.906 -31.582
-1.450 -29.995 -1.827 -31.717
-1.371 -29.960 -1.748 -31.682
-1.293 -29.901 -1.671 -31.622
-1.257 -29.916 -1.634 -31.638
-1.228 -29.909 -1.605 -31.631
-1.228 -29.915 -1.605 -31.637
-1.227 -29.920 -1.605 -31.642
-1.227 -29.925 -1.604 -31.647
-1.226 -29.938 -1.603 -31.659
-1.226 -29.941 -1.603 -31.663
-1.224 -29.972 -1.601 -31.694
-1.477 -30.033 -1.854 -31.755
-1.740 -30.050 -2.117 -31.772
-2.380 -30.114 -2.757 -31.836
-3.095 -30.190 -3.472 -31.912
-3.597 -30.252 -3.974 -31.974
-4.303 -30.327 -4.680 -32.049
-4.976 -30.398 -5.353 -32.119
-5.494 -30.452 -5.871 -32.174
-6.204 -30.558 -6.581 -32.280
-6.709 -30.566 -7.087 -32.288
-7.675 -30.656 -8.052 -32.378
-8.196 -30.706 -8.573 -32.428
-8.960 -30.758 -9.337 -32.479
-9.813 -30.816 -10.190 -32.538
-10.656 -30.881 -11.033 -32.603
-11.508 -30.970 -11.886 -32.691
-12.082 -31.034 -12.460 -32.756
-12.886 -31.111 -13.263 -32.833
-13.649 -31.211 -14.026 -32.933
-14.349 -31.301 -14.726 -33.023
-14.833 -31.349 -15.210 -33.070
-15.530 -31.440 -15.907 -33.161
-16.270 -31.537 -16.647 -33.259
-16.972 -31.627 -17.349 -33.349
-17.615 -31.688 -17.992 -33.409
-18.037 -31.729 -18.414 -33.450
-18.587 -31.783 -18.964 -33.505
-19.036 -31.830 -19.413 -33.552
-19.267 -31.876 -19.645 -33.598
-19.576 -31.851 -19.953 -33.573
-19.874 -31.836 -20.251 -33.558
-20.145 -31.807 -20.522 -33.529
-20.544 -31.790 -20.922 -33.512
-20.967 -31.766 -21.344 -33.488
-21.417 -31.745 -21.794 -33.467
-21.875 -31.733 -22.252 -33.455
-22.162 -31.722 -22.539 -33.444
-22.275 -31.736 -22.652 -33.457
-22.341 -31.681 -22.718 -33.403
-22.329 -31.718 -22.706 -33.440
-22.337 -31.866 -22.714 -33.588
-22.238 -31.751 -22.615 -33.473
-22.169 -31.835 -22.546 -33.557
-22.169 -32.062 -22.546 -33.784
-22.084 -32.198 -22.462 -33.920
-21.907 -32.189 -22.285 -33.911
-21.856 -32.330 -22.233 -34.051
-21.969 -32.511 -22.346 -34.233
-21.962 -32.596 -22.339 -34.317
-21.813 -32.677 -22.190 -34.399
-21.857 -32.817 -22.234 -34.538
-22.050 -32.904 -22.427 -34.626
-22.137 -33.036 -22.514 -34.758
-22.053 -33.200 -22.430 -34.922
-22.228 -33.326 -22.605 -35.048
-22.225 -33.499 -22.602 -35.221
-22.397 -33.511 -22.774 -35.233
-22.399 -33.625 -22.777 -35.347
-22.473 -33.662 -22.850 -35.384
-22.496 -33.659 -22.873 -35.381
-22.534 -33.638 -22.911 -35.359
-22.480 -33.526 -22.857 -35.248
-22.262 -33.184 -22.640 -34.906
-22.062 -32.937 -22.439 -34.659
-21.657 -32.411 -22.034 -34.133
-21.257 -31.835 -21.634 -33.557
-20.944 -31.390 -21.321 -33.112
-20.450 -30.709 -20.827 -32.431
-20.093 -30.238 -20.470 -31.959
-19.537 -29.489 -19.914 -31.211
-19.160 -29.006 -19.537 -30.728
-18.567 -28.251 -18.944 -29.973
-18.212 -27.773 -18.590 -29.495
-17.690 -27.063 -18.067 -28.785
-17.131 -26.345 -17.508 -28.067
-16.596 -25.644 -16.973 -27.366
-16.236 -25.203 -16.613 -26.925
-15.708 -24.530 -16.085 -26.251
-15.351 -24.096 -15.728 -25.817
-14.829 -23.418 -15.206 -25.139
-14.474 -22.987 -14.851 -24.709
-13.979 -22.352 -14.356 -24.074
-13.589 -21.883 -13.967 -23.605
-13.085 -21.236 -13.462 -22.958
-12.541 -20.527 -12.918 -22.249
-12.169 -20.092 -12.546 -21.814
-11.641 -19.406 -12.018 -21.128
-11.226 -18.908 -11.603 -20.630
-10.659 -18.205 -11.036 -19.927
-10.294 -17.742 -10.672 -19.464
-9.767 -17.091 -10.144 -18.813
-9.412 -16.666 -9.789 -18.388
-8.894 -16.028 -9.271 -17.750
-8.525 -15.597 -8.902 -17.319
-8.010 -14.982 -8.387 -16.704
-7.536 -14.414 -7.914 -16.136
-7.213 -14.045 -7.590 -15.767
-6.833 -13.591 -7.211 -15.313
-6.577 -13.281 -6.954 -15.003
-6.188 -12.884 -6.566 -14.606
-6.003 -12.671 -6.380 -14.393
-5.741 -12.454 -6.119 -14.175
-5.566 -12.265 -5.943 -13.987
-5.276 -11.976 -5.653 -13.698
-4.945 -11.648 -5.322 -13.369
-4.729 -11.446 -5.106 -13.168
-4.401 -11.124 -4.778 -12.846
-4.181 -10.919 -4.559 -12.641
-3.873 -10.610 -4.250 -12.332
-3.683 -10.435 -4.061 -12.156
-3.454 -10.216 -3.832 -11.938
-3.331 -10.094 -3.708 -11.816
-3.218 -9.963 -3.595 -11.684
-3.199 -9.931 -3.576 -11.653
-3.230 -9.912 -3.607 -11.634
-3.336 -9.900 -3.713 -11.622
-3.382 -9.879 -3.760 -11.601
-3.292 -10.001 -3.670 -11.722
-3.357 -9.972 -3.734 -11.694
-3.216 -10.020 -3.593 -11.742
-3.269 -9.980 -3.646 -11.702
-3.117 -10.030 -3.494 -11.752
-3.220 -9.995 -3.597 -11.717
-3.151 -10.015 -3.528 -11.737
-3.145 -10.013 -3.523 -11.734
-2.979 -10.003 -3.356 -11.725
-3.092 -10.002 -3.469 -11.723
-3.075 -9.995 -3.452 -11.717
-2.897 -9.921 -3.274 -11.643
-2.884 -9.899 -3.262 -11.620
-2.930 -9.951 -3.307 -11.673
-2.803 -9.870 -3.180 -11.592
-2.858 -9.935 -3.235 -11.657
-2.720 -9.798 -3.098 -11.520
-2.726 -9.766 -3.103 -11.488
-2.752 -9.888 -3.129 -11.610
-2.695 -9.775 -3.072 -11.497
-2.721 -9.822 -3.099 -11.544
-2.719 -9.832 -3.097 -11.554
-2.732 -9.867 -3.110 -11.589
-2.735 -9.717 -3.112 -11.439
-2.756 -9.713 -3.133 -11.435
-2.751 -9.700 -3.128 -11.422
-2.734 -9.805 -3.112 -11.526
-2.873 -9.716 -3.250 -11.438
-2.971 -9.834 -3.349 -11.556
-3.141 -9.838 -3.518 -11.559
-3.382 -9.990 -3.759 -11.712
-3.620 -10.077 -3.997 -11.799
-4.035 -10.393 -4.413 -12.115
-4.375 -10.598 -4.752 -12.320
-4.869 -10.948 -5.246 -12.670
-5.160 -11.250 -5.537 -12.972
-5.705 -11.721 -6.082 -13.443
-6.268 -12.236 -6.645 -13.958
-6.676 -12.654 -7.053 -14.376
-7.300 -13.277 -7.677 -14.999
-7.694 -13.729 -8.072 -15.451
-8.300 -14.383 -8.677 -16.105
-8.674 -14.824 -9.051 -16.546
-9.337 -15.454 -9.714 -17.176
-9.749 -15.879 -10.127 -17.601
-10.368 -16.538 -10.745 -18.260
-10.821 -16.953 -11.198 -18.675
-11.514 -17.639 -11.891 -19.361
-12.126 -18.314 -12.503 -20.036
-12.585 -18.786 -12.963 -20.508
-13.194 -19.411 -13.571 -21.133
-13.668 -19.854 -14.045 -21.576
-14.438 -20.581 -14.815 -22.303
-14.892 -21.020 -15.269 -22.741
-15.551 -21.593 -15.928 -23.315
-15.919 -21.981 -16.296 -23.703
-16.514 -22.540 -16.891 -24.262
-17.059 -23.090 -17.436 -24.812
-17.452 -23.465 -17.829 -25.187
-17.960 -23.963 -18.337 -25.684
-18.290 -24.285 -18.667 -26.007
-18.791 -24.780 -19.169 -26.502
-19.122 -25.127 -19.500 -26.849
-19.601 -25.592 -19.978 -27.314
-19.908 -25.873 -20.285 -27.595
-20.328 -26.287 -20.705 -28.009
-20.581 -26.555 -20.959 -28.277
-20.967 -26.937 -21.344 -28.658
-21.345 -27.306 -21.722 -29.027
-21.591 -27.553 -21.968 -29.275
-21.988 -27.958 -22.365 -29.680
-22.170 -28.145 -22.547 -29.867
-22.311 -28.273 -22.688 -29.995
-22.355 -28.271 -22.732 -29.993
-22.360 -28.215 -22.737 -29.937
-22.232 -28.213 -22.609 -29.934
-22.186 -28.109 -22.563 -29.831
-22.107 -28.114 -22.484 -29.836
-21.998 -28.183 -22.375 -29.905
-21.953 -28.089 -22.330 -29.811
-21.831 -28.219 -22.208 -29.941
-21.705 -28.255 -22.082 -29.976
-21.611 -28.160 -21.989 -29.882
-21.489 -28.171 -21.867 -29.892
-21.404 -28.352 -21.781 -30.074
-21.303 -28.392 -21.680 -30.113
-21.167 -28.339 -21.544 -30.061
-21.173 -28.520 -21.550 -30.242
-21.056 -28.444 -21.433 -30.166
-20.985 -28.525 -21.362 -30.247
-21.072 -28.737 -21.449 -30.459
-20.964 -28.707 -21.341 -30.429
-21.073 -28.861 -21.451 -30.583
-20.928 -28.844 -21.305 -30.566
-21.043 -29.063 -21.421 -30.785
-21.019 -29.236 -21.396 -30.957
-20.937 -29.305 -21.314 -31.026
-21.023 -29.367 -21.400 -31.089
-21.111 -29.296 -21.488 -31.017
-21.138 -29.073 -21.515 -30.794
-21.184 -28.763 -21.561 -30.485
-21.289 -28.397 -21.666 -30.119
-21.442 -27.890 -21.819 -29.611
-21.564 -27.500 -21.941 -29.221
-21.752 -26.819 -22.129 -28.541
-21.991 -26.049 -22.369 -27.771
-22.156 -25.527 -22.533 -27.249
-22.348 -24.744 -22.725 -26.465
-22.555 -23.991 -22.933 -25.712
-22.800 -23.215 -23.177 -24.937
-22.944 -22.686 -23.321 -24.408
-23.158 -21.843 -23.535 -23.564
-23.359 -21.039 -23.736 -22.761
-23.485 -20.536 -23.863 -22.258
-23.689 -19.711 -24.066 -21.433
-23.878 -18.989 -24.256 -20.711
-24.013 -18.485 -24.390 -20.207
-24.270 -17.480 -24.647 -19.202
-24.404 -16.993 -24.781 -18.715
-24.556 -16.335 -24.933 -18.057
-24.671 -15.737 -25.048 -17.459
-24.730 -15.301 -25.107 -17.023
-24.821 -14.755 -25.198 -16.477
-24.899 -14.278 -25.276 -16.000
-24.977 -14.154 -25.354 -15.876
-24.983 -13.962 -25.360 -15.684
-24.953 -13.802 -25.330 -15.524
-24.947 -13.607 -25.325 -15.329
-24.957 -13.398 -25.334 -15.120
-24.962 -13.304 -25.339 -15.026
-24.957 -13.175 -25.335 -14.897
-24.965 -13.043 -25.343 -14.764
-24.972 -12.962 -26.170 -16.010
-24.966 -12.921 -26.165 -15.969
-24.975 -12.922 -26.173 -15.970
-24.970 -12.885 -26.168 -15.934
-24.978 -12.886 -26.176 -15.934
-24.973 -12.860 -26.171 -15.908
-25.012 -12.869 -26.210 -15.917
-25.036 -12.943 -26.234 -15.991
-24.989 -13.015 -26.187 -16.063
-25.109 -13.082 -26.307 -16.131
-25.208 -13.166 -26.406 -16.214
-25.154 -13.289 -26.352 -16.337
-25.309 -13.290 -26.507 -16.338
-25.266 -13.418 -26.464 -16.467
-25.376 -13.402 -26.575 -16.450
-25.374 -13.536 -26.572 -16.584
-25.554 -13.474 -26.752 -16.522
-25.491 -13.577 -26.689 -16.625
-25.634 -13.470 -26.832 -16.518
-25.688 -13.499 -26.886 -16.547
-25.824 -13.450 -27.022 -16.498
-25.842 -13.567 -27.040 -16.616
-25.922 -13.588 -27.120 -16.636
-25.981 -13.461 -27.180 -16.509
-26.062 -13.293 -27.261 -16.341
-26.135 -13.207 -27.334 -16.255
-26.200 -13.285 -27.398 -16.333
-26.263 -13.335 -27.461 -16.383
-26.227 -13.196 -27.425 -16.244
-26.234 -13.187 -27.432 -16.235
-26.183 -13.237 -27.381 -16.285
-25.993 -13.379 -27.191 -16.427
-25.565 -13.579 -26.763 -16.627
-24.983 -13.854 -26.181 -16.902
-24.562 -14.007 -25.760 -17.055
-23.930 -14.348 -25.128 -17.396
-23.443 -14.584 -24.641 -17.632
-22.734 -14.990 -23.932 -18.038
-22.254 -15.267 -23.452 -18.315
-21.533 -15.764 -22.731 -18.813
-20.812 -16.257 -22.011 -19.305
-20.360 -16.592 -21.558 -19.640
-19.583 -17.150 -20.781 -20.198
-19.042 -17.566 -20.240 -20.614
-18.318 -18.082 -19.516 -21.130
-17.814 -18.475 -19.012 -21.523
-17.091 -18.997 -18.289 -22.046
-16.581 -19.359 -17.779 -22.407
-15.868 -19.847 -17.066 -22.895
-15.146 -20.359 -16.344 -23.407
-14.693 -20.715 -15.891 -23.763
-14.012 -21.209 -15.210 -24.257
-13.512 -21.575 -14.710 -24.623
-12.841 -22.080 -14.040 -25.128
-12.403 -22.415 -13.601 -25.463
-11.741 -22.931 -12.939 -25.980
-11.324 -23.228 -12.522 -26.276
-10.630 -23.739 -11.828 -26.787
-10.230 -24.052 -11.428 -27.100
-9.585 -24.493 -10.783 -27.541
-8.944 -24.963 -10.142 -28.012
-8.557 -25.265 -9.755 -28.313
-7.990 -25.706 -9.188 -28.754
-7.662 -25.967 -8.860 -29.015
-7.155 -26.362 -8.353 -29.410
-6.858 -26.633 -8.056 -29.681
-6.461 -26.921 -7.659 -29.969
-6.267 -27.137 -7.465 -30.185
-5.997 -27.324 -7.195 -30.372
-5.765 -27.599 -6.963 -30.648
-5.572 -27.818 -6.771 -30.866
-5.257 -28.141 -6.455 -31.189
-5.057 -28.360 -6.255 -31.409
-4.761 -28.685 -5.959 -31.733
-4.577 -28.879 -5.775 -31.927
-4.255 -29.200 -5.453 -32.248
-4.077 -29.393 -5.275 -32.441
-3.845 -29.636 -5.043 -32.684
-3.717 -29.779 -4.915 -32.827
-3.555 -29.950 -4.753 -32.998
-3.408 -30.091 -4.606 -33.139
-3.344 -30.148 -4.542 -33.196
-3.317 -30.175 -4.515 -33.224
-3.335 -30.196 -4.533 -33.244
-3.348 -30.177 -4.546 -33.225
-3.426 -30.200 -4.624 -33.248
-3.382 -30.112 -4.580 -33.160
-3.451 -30.147 -4.649 -33.195
-3.378 -30.091 -4.576 -33.139
-3.341 -30.066 -4.539 -33.114
-3.436 -30.079 -4.634 -33.127
-3.428 -29.988 -4.626 -33.036
-3.247 -29.937 -4.445 -32.985
-3.207 -29.883 -4.405 -32.931
-3.276 -29.825 -4.474 -32.873
-3.233 -29.765 -4.431 -32.813
-3.163 -29.744 -4.361 -32.792
-3.015 -29.780 -4.213 -32.828
-2.912 -29.764 -4.110 -32.812
-2.880 -29.705 -4.078 -32.753
-2.887 -29.552 -4.085 -32.600
-2.713 -29.595 -3.911 -32.643
-2.693 -29.401 -3.892 -32.449
-2.502 -29.459 -3.700 -32.507
-2.295 -29.479 -3.493 -32.527
-2.147 -29.569 -3.345 -32.617
-2.062 -29.516 -3.260 -32.565
-2.184 -29.449 -3.382 -32.498
-2.441 -29.509 -3.639 -32.557
-2.936 -29.562 -4.134 -32.610
-3.482 -29.643 -4.680 -32.691
-3.883 -29.675 -5.081 -32.723
-4.527 -29.770 -5.725 -32.818
-5.247 -29.871 -6.445 -32.919
-5.742 -29.913 -6.940 -32.961
-6.510 -30.010 -7.708 -33.058
-7.061 -30.069 -8.259 -33.117
-7.796 -30.129 -8.994 -33.177
-8.598 -30.215 -9.796 -33.263
-9.417 -30.302 -10.615 -33.350
-10.277 -30.367 -11.475 -33.416
-10.835 -30.417 -12.034 -33.465
-11.711 -30.486 -12.909 -33.534
-12.598 -30.545 -13.796 -33.593
-13.186 -30.587 -14.384 -33.635
-13.997 -30.673 -15.195 -33.721
-14.751 -30.750 -15.949 -33.797
-15.260 -30.790 -16.458 -33.838
-15.927 -30.830 -17.125 -33.878
-16.603 -30.861 -17.801 -33.909
-17.174 -30.897 -18.372 -33.945
-17.709 -30.924 -18.907 -33.972
-18.059 -30.942 -19.257 -33.990
-18.546 -30.963 -19.744 -34.011
-18.895 -30.957 -20.093 -34.005
-19.149 -30.935 -20.348 -33.983
-19.500 -30.951 -20.698 -33.999
-19.892 -30.952 -21.090 -34.000
-20.150 -30.935 -21.348 -33.983
-20.696 -30.937 -21.894 -33.985
-20.984 -30.927 -22.182 -33.975
-21.385 -30.929 -22.583 -33.977
-21.833 -30.927 -23.031 -33.975
-22.106 -30.933 -23.304 -33.981
-22.463 -30.937 -23.661 -33.985
-22.774 -30.931 -23.972 -33.979
-23.030 -30.936 -24.275 -36.602
-23.087 -30.938 -24.332 -36.604
-23.087 -30.943 -24.332 -36.608
-23.128 -30.945 -24.372 -36.611
-23.128 -30.947 -24.372 -36.612
-23.154 -30.948 -24.398 -36.614
-23.176 -30.940 -24.421 -36.605
-23.146 -31.056 -24.391 -36.721
-23.076 -30.977 -24.321 -36.642
-23.002 -31.015 -24.247 -36.680
-23.001 -31.198 -24.245 -36.863
-22.961 -31.240 -24.206 -36.906
-22.860 -31.215 -24.105 -36.881
-22.781 -31.291 -24.026 -36.956
-22.702 -31.406 -23.946 -37.072
-22.720 -31.601 -23.965 -37.266
-22.668 -31.759 -23.913 -37.425
-22.584 -31.902 -23.829 -37.568
-22.457 -31.954 -23.701 -37.620
-22.601 -32.106 -23.846 -37.772
-22.581 -32.200 -23.826 -37.865
-22.552 -32.250 -23.797 -37.915
-22.587 -32.296 -23.832 -37.962
-22.586 -32.336 -23.831 -38.002
-22.592 -32.338 -23.837 -38.004
-22.595 -32.338 -23.840 -38.004
-22.597 -32.339 -23.084 -36.160
-22.598 -32.339 -23.084 -36.161
-22.599 -32.339 -23.085 -36.161
