ox oy ex ey
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-17.374 -38.117 -17.374 -38.117
-17.375 -38.117 -17.375 -38.117
-17.373 -38.100 -17.373 -38.100
-17.346 -38.076 -17.346 -38.076
-17.366 -38.077 -17.366 -38.077
-17.375 -38.079 -17.375 -38.079
-17.341 -38.081 -17.341 -38.081
-17.381 -38.078 -17.381 -38.078
-17.343 -38.074 -17.343 -38.074
-17.343 -38.075 -17.343 -38.075
-17.340 -38.077 -17.340 -38.077
-17.384 -38.075 -17.384 -38.075
-17.382 -38.066 -17.382 -38.066
-17.342 -38.054 -17.342 -38.054
-17.374 -38.035 -17.374 -38.035
-17.327 -38.028 -17.327 -38.028
-17.324 -38.011 -17.324 -38.011
-17.369 -38.006 -17.369 -38.006
-17.377 -37.989 -17.377 -37.989
-17.322 -37.989 -17.322 -37.989
-17.354 -37.971 -17.354 -37.971
-17.351 -37.956 -17.351 -37.956
-17.293 -37.966 -17.293 -37.966
-17.298 -37.964 -17.298 -37.964
-17.311 -37.963 -17.311 -37.963
-17.367 -37.950 -17.367 -37.950
-17.317 -37.964 -17.317 -37.964
-17.395 -37.969 -17.395 -37.969
-17.348 -37.984 -17.348 -37.984
-17.358 -38.000 -17.358 -38.000
-17.407 -37.996 -17.407 -37.996
-17.409 -38.004 -17.409 -38.004
-17.369 -38.018 -17.369 -38.018
-17.366 -37.993 -17.366 -37.993
-17.342 -37.966 -17.342 -37.966
-17.335 -37.969 -17.335 -37.969
-17.335 -37.950 -17.335 -37.950
-17.334 -37.931 -17.334 -37.931
-17.327 -37.908 -17.327 -37.908
-17.327 -37.908 -17.327 -37.908
-17.302 -37.860 -17.302 -37.860
-17.299 -37.861 -17.299 -37.861
-17.292 -37.849 -17.292 -37.849
-17.284 -37.832 -17.284 -37.832
-17.283 -37.822 -17.283 -37.822
-17.281 -37.822 -17.281 -37.822
-17.263 -37.791 -17.263 -37.791
-17.258 -37.786 -17.258 -37.786
-17.261 -37.785 -17.261 -37.785
-17.262 -37.770 -17.262 -37.770
-17.260 -37.750 -17.260 -37.750
-17.258 -37.727 -17.258 -37.727
-17.260 -37.726 -17.260 -37.726
-17.234 -37.680 -17.234 -37.680
-17.230 -37.682 -17.230 -37.682
-17.208 -37.659 -17.208 -37.659
-17.194 -37.641 -17.194 -37.641
-17.170 -37.616 -17.170 -37.616
-17.151 -37.578 -17.151 -37.578
-17.152 -37.578 -17.152 -37.578
-17.142 -37.541 -17.142 -37.541
-17.129 -37.506 -17.129 -37.506
-17.126 -37.488 -17.126 -37.488
-17.116 -37.465 -17.116 -37.465
-17.098 -37.439 -17.098 -37.439
-17.093 -37.441 -17.093 -37.441
-17.070 -37.398 -17.070 -37.398
-17.071 -37.397 -17.071 -37.397
-17.068 -37.374 -17.068 -37.374
-17.074 -37.357 -17.074 -37.357
-17.067 -37.336 -17.067 -37.336
-17.054 -37.304 -17.054 -37.304
-17.050 -37.306 -17.050 -37.306
-17.035 -37.292 -17.035 -37.292
-17.027 -37.285 -17.027 -37.285
-17.011 -37.274 -17.011 -37.274
-17.006 -37.269 -17.006 -37.269
-17.001 -37.257 -17.001 -37.257
-17.003 -37.256 -17.003 -37.256
-17.004 -37.241 -17.004 -37.241
-17.005 -37.241 -17.005 -37.241
-17.004 -37.238 -17.004 -37.238
-17.002 -37.235 -17.002 -37.235
-17.001 -37.232 -17.001 -37.232
-17.000 -37.231 -17.000 -37.231
-17.001 -37.231 -17.001 -37.231
-17.001 -37.231 -17.001 -37.231
-16.998 -37.221 -16.998 -37.221
-17.000 -37.220 -17.000 -37.220
-17.000 -37.220 -17.000 -37.220
-16.991 -37.213 -16.991 -37.213
-16.986 -37.215 -16.986 -37.215
-16.955 -37.200 -16.955 -37.200
-16.960 -37.191 -16.960 -37.191
-16.942 -37.199 -16.942 -37.199
-16.964 -37.199 -16.964 -37.199
-16.945 -37.210 -16.945 -37.210
-16.938 -37.218 -16.938 -37.218
-16.967 -37.213 -16.967 -37.213
-16.978 -37.217 -16.978 -37.217
-16.947 -37.230 -16.947 -37.230
-16.991 -37.249 -16.991 -37.249
-17.006 -37.274 -17.006 -37.274
-17.016 -37.271 -17.016 -37.271
-16.995 -37.318 -16.995 -37.318
-17.000 -37.329 -17.000 -37.329
-17.018 -37.347 -17.018 -37.347
-17.062 -37.325 -17.062 -37.325
-17.075 -37.346 -17.075 -37.346
-17.050 -37.394 -17.050 -37.394
-17.075 -37.423 -17.075 -37.423
-17.099 -37.449 -17.099 -37.449
-17.121 -37.463 -17.121 -37.463
-17.174 -37.431 -17.174 -37.431
-17.205 -37.466 -17.205 -37.466
-17.180 -37.519 -17.180 -37.519
-17.206 -37.545 -17.206 -37.545
-17.238 -37.524 -17.238 -37.524
-17.240 -37.612 -17.240 -37.612
-17.276 -37.648 -17.276 -37.648
-17.314 -37.621 -17.314 -37.621
-17.335 -37.642 -17.335 -37.642
-17.309 -37.697 -17.309 -37.697
-17.329 -37.738 -17.329 -37.738
-17.354 -37.757 -17.354 -37.757
