ox oy ex ey
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-27.000 -36.000 -27.000 -36.000
-26.999 -36.000 -26.999 -36.000
-26.999 -36.000 -26.999 -36.000
-26.980 -36.001 -26.980 -36.001
-26.977 -36.002 -26.977 -36.002
-26.976 -36.003 -26.976 -36.003
-27.014 -36.000 -27.014 -36.000
-27.016 -36.001 -27.016 -36.001
-26.984 -36.002 -26.984 -36.002
-27.000 -36.003 -27.000 -36.003
-27.014 -36.020 -27.014 -36.020
-27.055 -36.021 -27.055 -36.021
-27.058 -36.022 -27.058 -36.022
-27.015 -36.032 -27.015 -36.032
-27.055 -36.035 -27.055 -36.035
-27.059 -36.043 -27.059 -36.043
-27.005 -36.050 -27.005 -36.050
-27.014 -36.052 -27.014 -36.052
-27.022 -36.061 -27.022 -36.061
-27.087 -36.067 -27.087 -36.067
-27.107 -36.071 -27.107 -36.071
-27.044 -36.085 -27.044 -36.085
-27.053 -36.093 -27.053 -36.093
-27.116 -36.084 -27.116 -36.084
-27.042 -36.104 -27.042 -36.104
-27.039 -36.107 -27.039 -36.107
-27.115 -36.086 -27.115 -36.086
-27.126 -36.088 -27.126 -36.088
-27.125 -36.091 -27.125 -36.091
-27.128 -36.078 -27.128 -36.078
-27.088 -36.020 -27.088 -36.020
-27.062 -35.967 -27.062 -35.967
-27.034 -35.980 -27.034 -35.980
-27.028 -35.919 -27.028 -35.919
-27.044 -35.886 -27.044 -35.886
-27.049 -35.855 -27.049 -35.855
-27.052 -35.832 -27.052 -35.832
-27.054 -35.820 -27.054 -35.820
-27.051 -35.805 -27.051 -35.805
-27.059 -35.802 -27.059 -35.802
-27.062 -35.790 -27.062 -35.790
-27.077 -35.785 -27.077 -35.785
-27.079 -35.784 -27.079 -35.784
-27.085 -35.785 -27.085 -35.785
-27.086 -35.784 -27.086 -35.784
-27.083 -35.786 -27.083 -35.786
-27.079 -35.787 -27.079 -35.787
-27.078 -35.788 -27.078 -35.788
-27.079 -35.788 -27.079 -35.788
-27.080 -35.787 -27.080 -35.787
-27.080 -35.787 -27.080 -35.787
-27.080 -35.787 -27.080 -35.787
-27.081 -35.786 -27.081 -35.786
-27.083 -35.786 -27.083 -35.786
-27.085 -35.785 -27.085 -35.785
-27.086 -35.784 -27.086 -35.784
-27.087 -35.784 -27.087 -35.784
-27.087 -35.784 -27.087 -35.784
-27.087 -35.784 -27.087 -35.784
-27.087 -35.784 -27.087 -35.784
-27.087 -35.784 -27.087 -35.784
-27.090 -35.775 -27.090 -35.775
-27.091 -35.764 -27.091 -35.764
-27.095 -35.762 -27.095 -35.762
-27.093 -35.760 -27.093 -35.760
-27.094 -35.759 -27.094 -35.759
-27.091 -35.757 -27.091 -35.757
-27.090 -35.757 -27.090 -35.757
-27.090 -35.757 -27.090 -35.757
-27.090 -35.757 -27.090 -35.757
-27.090 -35.757 -27.090 -35.757
-27.091 -35.757 -27.091 -35.757
-27.089 -35.758 -27.089 -35.758
-27.089 -35.758 -27.089 -35.758
-27.088 -35.758 -27.088 -35.758
-27.089 -35.758 -27.089 -35.758
-27.090 -35.758 -27.090 -35.758
-27.089 -35.758 -27.089 -35.758
-27.089 -35.758 -27.089 -35.758
-27.090 -35.758 -27.090 -35.758
-27.090 -35.758 -27.090 -35.758
-27.090 -35.757 -27.090 -35.757
-27.091 -35.757 -27.091 -35.757
-27.091 -35.757 -27.091 -35.757
-27.091 -35.757 -27.091 -35.757
-27.090 -35.757 -27.090 -35.757
-27.091 -35.757 -27.091 -35.757
-27.085 -35.759 -27.085 -35.759
-27.060 -35.760 -27.060 -35.760
-27.016 -35.772 -27.016 -35.772
-27.009 -35.777 -27.009 -35.777
-27.050 -35.782 -27.050 -35.782
-27.072 -35.802 -27.072 -35.802
-27.040 -35.818 -27.040 -35.818
-27.087 -35.830 -27.087 -35.830
-27.100 -35.844 -27.100 -35.844
-27.059 -35.865 -27.059 -35.865
-27.069 -35.877 -27.069 -35.877
-27.084 -35.899 -27.084 -35.899
-27.157 -35.890 -27.157 -35.890
-27.176 -35.919 -27.176 -35.919
-27.129 -35.947 -27.129 -35.947
-27.149 -35.974 -27.149 -35.974
-27.164 -35.991 -27.164 -35.991
-27.224 -35.985 -27.224 -35.985
-27.247 -36.014 -27.247 -36.014
-27.199 -36.048 -27.199 -36.048
-27.221 -36.074 -27.221 -36.074
-27.260 -36.110 -27.260 -36.110
-27.340 -36.102 -27.340 -36.102
-27.377 -36.123 -27.377 -36.123
-27.328 -36.164 -27.328 -36.164
-27.372 -36.197 -27.372 -36.197
-27.482 -36.185 -27.482 -36.185
-27.431 -36.232 -27.431 -36.232
-27.466 -36.258 -27.466 -36.258
-27.497 -36.272 -27.497 -36.272
-27.565 -36.228 -27.565 -36.228
-27.575 -36.240 -27.575 -36.240
-27.521 -36.299 -27.521 -36.299
-27.541 -36.299 -27.541 -36.299
-27.567 -36.295 -27.567 -36.295
-27.658 -36.233 -27.658 -36.233
